Index,Week,Timestamp,Rank,First appear,Watchface Name,Is Sport Tag,Official tags,Link,Watchface Thumbnail,Data Types,displayForm,data+displayForm,onlyIcon,Number of data types,Size of the visualizations,How is data identified,Representations beyond text,What data is visualized as a chart,Proportion data types,Corresponding proportion charts,Proportion Chart,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Animation,UI Style,Official tags,"Watch type (Analog, Digital,Hybrid)",Color Hue (Color except balck white grey),Website,Paid,,Proportion Chart analysis
66,1,14/03/2021 22:00,66,yes,REFRESH,FALSE,Lifestyle;,https://www.facer.io/watchface/Xt2ZANNc7G?watchModel=armaniconnected,,time;date;day;steps;heart rate;weather;temperature;watch battery;,icon+text;icon+text;icon;text;icon+text;,steps=icon+text;heart rate=icon+text;weather=icon;temperatur=text;watch battery=icon+text;,weather;,5,,,,day;,watch battery;,text;,no;,background;container;,decoration;heart rate;,semi-flat,Lifestyle;,analog,4,Facer,Premium,,no;
68,1,14/03/2021 22:00,68,yes,B# - Open Heart,FALSE,Luxury;b#;b sharp;bsharp;analog;mechanical;luxury;contemporary;hybrid;lume;expensive;blue;black;gears;glass;guilloche;,https://www.facer.io/watchface/GvmRLPBaE8?watchModel=huaweiw1,,time;date;day;watch battery;,chart;,watch battery=chart;,none;,1,,,,watch battery;second;day;,watch battery;,gauge;,gauge;,background;container;,decoration;,skeuomorphism,Luxury;b#;b sharp;bsharp;analog;mechanical;luxury;contemporary;hybrid;lume;expensive;blue;black;gears;glass;guilloche;,analog,3,Facer,Premium,,gauge;
69,1,14/03/2021 22:00,69,yes,ULTRA,FALSE,Lifestyle;,https://www.facer.io/watchface/RWbzx0DjaR?watchModel=michaelkorsbradshaw,,time;date;day;temperature;weather;watch battery;heart rate;steps;,text;icon;text;text;text;,temperature=text;weather=icon;watch battery=text;heart rate=text;steps=text;,weather;,5,,,,no;,watch battery;,text;,no;,background;container;,no;,semi-flat,Lifestyle;,digital,2,Facer,Premium,,no;
70,1,14/03/2021 22:00,70,yes,BA | Past Master 3.1,FALSE,Elegant;weather;steps;calories;theme;sunset;sunrise;,https://www.facer.io/watchface/0saqRcXLNj?watchModel=galaxywatch3,,time;date;day;steps;calories;weather;temperature;sun;watch battery;,text;text;icon;text;text;chart;,steps=text;calories=text;weather=icon;temperature=text;sun=text;watch battery=chart;,weather;,6,,,,watch battery;,watch battery;,discrete arc;,arc+pictogram;,background;container;,no;,skeuomorphism,Elegant;weather;steps;calories;theme;sunset;sunrise;,digital,1,Facer,Premium,,arc+pictogram;
71,1,14/03/2021 22:00,71,yes,Roman Nights,FALSE,Abstract;analog;retro;themeable;modern;roman;numerals;date;app;launcher;,https://www.facer.io/watchface/oLqq7hZOj0?watchModel=montblancsummit2blackcaseblackcanvas,,time;date;,none;,none;,none;,0,,,,second;,no;,no;,no;,logo;background;screen border;container;,no;,skeuomorphism,Abstract;analog;retro;themeable;modern;roman;numerals;date;app;launcher;,analog,1,Facer,Premium,,no;
72,1,14/03/2021 22:00,72,yes,VIENNA STUDIOS | Fine S,FALSE,Luxury;luxury;rich;exclusive;vienna;studios;viennastudios;mechanical;classic;steps;time;date;best;top;most;analog;business;,https://www.facer.io/watchface/caMQNSbbi3?watchModel=armaniconnected,,time;date;watch battery;steps;heart rate;,chart+text;text;icon+text;,watch battery=chart+text;steps=text;heart rate=icon+text;,none;,3,,,,watch battery;,watch battery;,bar;,bar;,logo;container;,no;,skeuomorphism,Luxury;luxury;rich;exclusive;vienna;studios;viennastudios;mechanical;classic;steps;time;date;best;top;most;analog;business;,analog,1,Facer,Premium,,bar;
74,1,14/03/2021 22:00,74,yes,B Sharp - Facets,FALSE,Luxury;b#;b sharp;bsharp;mechanical;glass;guilloche;analog;luxury;realistic;date;elegant;hybrid;formal;3d;,https://www.facer.io/watchface/5d502NBLC3?watchModel=huaweiw1,,time;date;watch battery;steps;heart rate;distance;weather;temperature;,chart;icon+text;icon+text;text;icon;text;,watch battery=chart;steps=icon+text;heart rate=icon+text;distance=text;weather=icon;temperature=text;,weather;,6,,,,watch battery;,watch battery;,bar;,bar;,logo;background;container;,no;,skeuomorphism,Luxury;b#;b sharp;bsharp;mechanical;glass;guilloche;analog;luxury;realistic;date;elegant;hybrid;formal;3d;,analog,2,Facer,Premium,,bar;
75,1,14/03/2021 22:00,75,yes,HaDe DS 170 Pro,FALSE,Geek;hade ds;digital;,https://www.facer.io/watchface/IY5LZpDsyT?watchModel=ticwatchs2glacier,,time;date;day;watch battery;sun;steps;heart rate;weather;location;moon;,chart;text;text;text;icon;text;chart;,watch battery=chart;sun=text;steps=text;heart rate=text;weather=icon;location=text;moon=chart;,weather;,7,,,,watch battery;second;millisecond;,watch battery;,arc;,arc;,container;,no;,semi-flat,Geek;hade ds;digital;,digital,1,Facer,Premium,,arc;
76,1,14/03/2021 22:00,76,yes,Cherry Blossom Pink,FALSE,Nature;illustrated;pink;cherry trees;blooms;flowers;nature;spring;,https://www.facer.io/watchface/6uZvofe8yZ?watchModel=fossilqventure,,time;date;day;temperature;steps;heart rate;watch battery;,text;text;text;text;,temperature=text;steps=text;heart rate=text;watch battery=text;,none;,4,,,,no;,watch battery;,text;,no;,logo;background;design;,no;,semi-flat,Nature;illustrated;pink;cherry trees;blooms;flowers;nature;spring;,digital,1,Facer,Premium,,no;
77,1,14/03/2021 22:00,77,yes,Tattoo Style,FALSE,Lifestyle;activity;fitness;tattoo;,https://www.facer.io/watchface/QYyjgzBF3k?watchModel=galaxyactive2,,time;date;day;watch battery;steps;distance;heart rate;calories;,chart+text;icon+text;text;icon+text;icon+text;,watch battery=chart+text;steps=icon+text;distance=text;heart rate=icon+text;calories=icon+text;,none;,5,,,,watch battery;,watch battery;,bar within icon+text;,icon+bar;,logo;divider;design;,no;,flat,Lifestyle;activity;fitness;tattoo;,digital,4,Facer,Premium,,icon+bar;
78,1,14/03/2021 22:00,78,yes,DROPLET,FALSE,Lifestyle;,https://www.facer.io/watchface/5UwKrRMIlK?watchModel=michaelkorsbradshaw,,time;date;day;watch battery;,icon+text;,watch battery=icon+text;,none;,1,,,,no;,watch battery;,text;,no;,background;container;,no;,skeuomorphism,Lifestyle;,digital,2,Facer,Premium,,no;
79,1,14/03/2021 22:00,79,yes,BATWOLF Sonatus,FALSE,Elegant;time;date;battery;step goal;theme;color;apps;,https://www.facer.io/watchface/b8KFOAcU99?watchModel=armaniconnected,,time;date;day;watch battery;steps;,chart+icon;chart+icon;,watch battery=chart+icon;steps=chart+icon;,none;,2,,,,watch battery;steps;,watch battery;steps;,gauge;gauge;,gauge;,logo;container;,no;,flat,Elegant;time;date;battery;step goal;theme;color;apps;,hybrid,0,Facer,Premium,,gauge;
80,1,14/03/2021 22:00,80,yes,GRR | ALIEN ATTACK!,FALSE,Gaming;hero;super;grr;alien;ufo;attack;invader;game;gaming;retro;gamer;,https://www.facer.io/watchface/5Cfo1EzDzI?watchModel=armaniconnected,,time;game score;,text;,game score=text;,none;,1,,,,no;,no;,no;,no;,background;,decoration;,flat,Gaming;hero;super;grr;alien;ufo;attack;invader;game;gaming;retro;gamer;,digital,5,Facer,Premium,,no;
81,1,14/03/2021 22:00,81,yes,Tokyo Tech - Pixelator,FALSE,Futuristic;digital;informative;futuristic;anaimated;,https://www.facer.io/watchface/TDTPsclxeC?watchModel=galaxywatch3,,time;date;day;steps;watch battery;temperature;,icon+text;chart;text;,steps=icon+text;watch battery=chart;temperature=text;,none;,3,,,,watch battery;,watch battery;,bar within icon;,icon+bar;,logo;background;container;,decoration;,semi-flat,Futuristic;digital;informative;futuristic;anaimated;,digital,1,Facer,Premium,,icon+bar;
84,1,14/03/2021 22:00,84,yes,Flowering Shamrocks and Clover,FALSE,65,https://www.facer.io/watchface/w6DDTmakVD?watchModel=fossilqventure,,time;date;day;temperature;weather;steps;heart rate;watch battery;,text;text;text;text;text;,steps=text;weather=text;watch battery=text;phone battery=text;moon=text;,none;,5,,,,no;,watch battery;,text;,no;,background;,no;,semi-flat,65,digital,2,Facer,Premium,,no;
87,1,14/03/2021 22:00,87,yes,Rainbow Tats,FALSE,Lifestyle;tattoo;rainbows;colors;men;ladies;interactive;,https://www.facer.io/watchface/oUuTXOC57b?watchModel=galaxyactive2,,time;date;day;steps;distance;calories;heart rate;watch battery;,text;text;text;text;chart+text;,steps=text;distance=text;calories=text;heart rate=text;watch battery=chart+text;,none;,5,,,,watch battery;,watch battery;,bar+text;,bar;,logo;background;screen border;divider;design;,no;,semi-flat,Lifestyle;tattoo;rainbows;colors;men;ladies;interactive;,digital,4,Facer,Premium,,bar;
88,1,14/03/2021 22:00,88,yes,G7 Analog Flower Colors S03P,FALSE,Nature;casual;,https://www.facer.io/watchface/KfsLCvPM0l?watchModel=fossilqwander,,time;date;day;weather;temperature;watch battery;,icon;text;text;,weather=icon;temperature=text;watch battery=text;,weather;,3,,,,watch battery;,watch battery;,donut+text;,donut;,background;,decoration;,flat,Nature;casual;,digital,3,Facer,Premium,,donut;
89,1,14/03/2021 22:00,89,yes,Tokyo Tech - Compressor,FALSE,Futuristic;digital;informative;,https://www.facer.io/watchface/rsnoMauuTo?watchModel=galaxyactive2,,time;wifi;temperature;steps;watch battery;,chart;text;text;text;,wifi=chart;temperature=text;steps=text;watch battery=text;,none;,4,,,,wifi;,watch battery;,text;,no;,logo;container;divider;,no;,flat,Futuristic;digital;informative;,digital,1,Facer,Premium,,no;
90,1,14/03/2021 22:00,90,yes,A-13A Pilot Chronograph ( Blk),FALSE,Abstract;pilot;aviator;chronograph;stopwatch;analog;a13a;6499;military;heritage;battery;steps;,https://www.facer.io/watchface/reApBY4CMJ?watchModel=moto360,,time;watch battery;steps;,chart+icon;chart+icon;,watch battery=chart+icon;steps=chart+icon;,none;,2,,,,watch battery;steps;,watch battery;steps;,sliding;sliding;,sliding;,logo;,no;,flat,Abstract;pilot;aviator;chronograph;stopwatch;analog;a13a;6499;military;heritage;battery;steps;,analog,1,Facer,Premium,,sliding;
92,1,14/03/2021 22:00,92,yes,LAZ | Cypher Aqua,FALSE,Futuristic;futuristic;calendar;battery friendly;colour theme;,https://www.facer.io/watchface/pCSKPDQHR4?watchModel=dieselonfullguard,,time;date;day;steps;distance;calories;weather;moon;watch battery;,chart+text;icon+text;icon+text;icon;chart;chart+text;,steps=chart+text;distance=icon+text;calories=icon+text;weather=icon;moon=chart;watch battery=chart+text;,weather;,6,,,,steps;watch battery;second;,watch battery;steps;,bar+text;bar;,bar;,logo;container;,no;,semi-flat,Futuristic;futuristic;calendar;battery friendly;colour theme;,digital,2,Facer,Premium,,bar;
95,1,14/03/2021 22:00,95,yes,GODIGITAL,FALSE,Lifestyle;,https://www.facer.io/watchface/80kWaSQF2Q?watchModel=fossilqexplorist,,time;date;day;watch battery;,text;,watch battery=text;,none;,1,,,,no;,watch battery;,text;,no;,container;design;,decoration;,skeuomorphism,Lifestyle;,digital,1,Facer,Premium,,no;
96,1,14/03/2021 22:00,96,yes,Tokyo Tech - Eclipse,FALSE,Lifestyle;digital;informative;,https://www.facer.io/watchface/v2g57EQIXo?watchModel=fossilqexplorist,,time;date;day;weather;moon;altitude;temperature;watch battery;steps;heart rate;,icon;chart;text;icon+text;icon+text;icon+text;icon+text;,weather=icon;moon=chart;altitude=text;temperature=icon+text;watch battery=icon+text;steps=icon+text;heart rate=icon+text;,weather;,7,,,,no;,watch battery;,text;,no;,logo;container;design;,heart rate;,skeuomorphism,Lifestyle;digital;informative;,digital,1,Facer,Premium,,no;
97,1,14/03/2021 22:00,97,yes,RUP-Race,FALSE,Minimal;watchface;watchfaces;smartwatch;facer_io;s3frontier;primria;mobvoi;ticwatch;androidwatch;tizenos;tactical;galaxygear;galaxywatch;best;bestoftheday;clockface;awesome;great;,https://www.facer.io/watchface/rlEpNzJdqZ?watchModel=gears3,,time;date;steps;heart rate;watch battery;,chart+text;icon+text;chart+text;,steps=chart+text;heart rate=icon+text;watch battery=chart+text;,none;,3,,,,watch battery;steps;,watch battery;steps;,arc;discrete arc;,donut;,container;,no;,flat,Minimal;watchface;watchfaces;smartwatch;facer_io;s3frontier;primria;mobvoi;ticwatch;androidwatch;tizenos;tactical;galaxygear;galaxywatch;best;bestoftheday;clockface;awesome;great;,hybrid,1,Facer,Premium,,donut;
99,1,14/03/2021 22:00,99,yes,CLOUD,FALSE,Lifestyle;,https://www.facer.io/watchface/fRE5KCgZoW?watchModel=armaniconnected,,time;date;day;watch battery;,chart+icon+text;,watch battery=chart+icon+text;,none;,1,,,,watch battery;day;second;,watch battery;,gauge+text;,gauge;,background;container;,decoration;,skeuomorphism,Lifestyle;,hybrid,2,Facer,Premium,,gauge;
100,1,14/03/2021 22:00,100,yes,Faster | Citrus,FALSE,Lifestyle;faster;grr;citrus;high;themeable;lemon;lime;grapefruit;,https://www.facer.io/watchface/ckEzjHQpyO?watchModel=ticwatchc2,,time;date;day;watch battery;,icon+text;,watch battery=icon+text;,none;,1,,,,no;,watch battery;,text;,no;,background;,decoration;,flat,Lifestyle;faster;grr;citrus;high;themeable;lemon;lime;grapefruit;,digital,3,Facer,Premium,,no;
102,2,21/03/2021 22:00,2,yes,Assassin's Creed - Symbols,FALSE,Official Brands;ubisoft;assassin's creed;valhalla;hybrid;video games;,https://www.facer.io/watchface/YaXb9SC2LW?watchModel=fossilsport,,time;temperature;weather;heart rate;steps;watch battery;,text;icon;text;text;chart+text;,temperature=text;weather=icon;heart rate=text;steps=text;watch battery=chart+text;,weather;,5,,,,watch battery;,watch battery;,bar within icon+text;,icon+bar;,logo;background;design;,decoration;,skeuomorphism,Official Brands;ubisoft;assassin's creed;valhalla;hybrid;video games;,analog,1,Facer,Premium,,icon+bar;
107,2,21/03/2021 22:00,7,yes,Assassin's Creed - Stone,FALSE,Official Brands;ubisoft;assassin's creed;valhalla;video games;analog;,https://www.facer.io/watchface/PV5HCSd0KG?watchModel=montblancsummit2blackcaseblackcanvas,,time;,none;,none,none;,0,,,,no;,no;,no;,no;,logo;background;,decoration;,#REF!,Official Brands;ubisoft;assassin's creed;valhalla;video games;analog;,analog,2,Facer,Premium,,no;
109,2,21/03/2021 22:00,9,yes,COMBINATOR,FALSE,Lifestyle;,https://www.facer.io/watchface/lWMGnlk3kU?watchModel=armaniconnected,,time;date;day;watch battery;,text;,watch battery=text;,none;,1,,,,no;,watch battery;,text;,no;,screen border;container;design;,no;,semi-flat,Lifestyle;,hybrid,2,Facer,Premium,,no;
113,2,21/03/2021 22:00,13,yes,Assassin's Creed - Wood,FALSE,Official Brands;ubisoft;assasin's creed;valhalla;video games;analog;,https://www.facer.io/watchface/y64z7p84Ey?watchModel=montblancsummit2steelcasebrownleather,,time;,none;,none,none;,0,,,,no;,no;,no;,no;,logo;background;,no;,skeuomorphism,Official Brands;ubisoft;assasin's creed;valhalla;video games;analog;,analog,1,Facer,Premium,,no;
118,2,21/03/2021 22:00,18,yes,DUO PITCH +,FALSE,Abstract;new;digital;shaded;cool;black;,https://www.facer.io/watchface/Wbq1rRw2ln?watchModel=moto3602,,time;date;day;location;moon;watch battery;phone battery;heart rate;weather;temperature;sun;calories;steps;,text;chart;chart+icon+text;chart+icon+text;icon+text;icon+text;text;text;text;chart+icon+text;,location=text;moon=chart;watch battery=chart+icon+text;phone battery=chart+icon+text;heart rate=icon+text;weather=icon+text;temperature=text;sun=text;calories=text;steps=chart+icon+text;,none;,10,,,,watch battery;phone battery;steps;,watch battery;steps;phone battery;,discrete bar+text;discrete bar;discrete bar+text;,bar+pictogram;,logo;divider;,heart rate;,semi-flat,Abstract;new;digital;shaded;cool;black;,digital,1,Facer,Premium,,bar+pictogram;
120,2,21/03/2021 22:00,20,yes,Vienna Studios | Wild Orange,FALSE,Luxury;steps;mechanical;analog;gears;animated;animation;luxury;orange;best;top;yes;,https://www.facer.io/watchface/NCsT0HoZOL?watchModel=armaniconnected,,time;date;day;steps;heart rate;watch battery;,text;text;text;,steps=text;heart rate=text;watch battery=text;,none;,3,,,,no;,watch battery;,text;,no;,logo;background;screen border;container;,decoration;,skeuomorphism,Luxury;steps;mechanical;analog;gears;animated;animation;luxury;orange;best;top;yes;,hybrid,2,Facer,Premium,,no;
125,2,21/03/2021 22:00,25,yes,BATWOLF Lepton,FALSE,Futuristic;12/24h;time;day;date;location;step count;step goal;pulse;temp;weather icon;moon phase;rotating second bezel;dark mode;full lcd aod mode;batwolf;,https://www.facer.io/watchface/2UIQDAhy0O?watchModel=armaniconnected,,time;date;day;location;watch battery;steps;moon;temperature;weather;heart rate;,text;chart+icon;chart+icon;chart;text;icon;icon+text;,location=text;watch battery=chart+icon;steps=chart+icon;moon=chart;temperature=text;weather=icon;heart rate=icon+text;,weather;,7,,,,watch battery;,no;,no;,arc+pictogram;,background;screen border;container;,heart rate;,skeuomorphism,Futuristic;12/24h;time;day;date;location;step count;step goal;pulse;temp;weather icon;moon phase;rotating second bezel;dark mode;full lcd aod mode;batwolf;,digital,1,Facer,Premium,,arc+pictogram;
129,2,21/03/2021 22:00,29,yes,TRIGGER,FALSE,Lifestyle;,https://www.facer.io/watchface/YrGnNLDeZy?watchModel=fossilqexploristt,,time;date;day;heart rate;steps;temperature;watch battery;,text;text;text;text;,heart rate=text;steps=text;temperature=text;watch battery=text;,none;,4,,,,no;,watch battery;,text;,no;,background;screen border;container;,decoration;,skeuomorphism,Lifestyle;,digital,2,Facer,Premium,,no;
138,2,21/03/2021 22:00,38,yes,AG Bolt GTO 840,FALSE,Elegant;bold;elegant;style;cool;fashion;trendy;black;orange;white;outdoor;business;,https://www.facer.io/watchface/NqeGMRnmIk?watchModel=galaxywatch3,,time;date;day;compass;weather;air pressure;air direction;temperature;,chart+text;icon;text;text;text;,compass=chart+text;weather=icon;air pressure=text;air direction=text;temperature=text;,weather;,5,,,,compass;hour;,watch battery;,text;,no;,screen border;container;,no;,flat,Elegant;bold;elegant;style;cool;fashion;trendy;black;orange;white;outdoor;business;,analog,2,Facer,Premium,,no;
140,2,21/03/2021 22:00,40,yes,CFW Digital AW02,FALSE,Nature;aniweather;moonphases;digital;,https://www.facer.io/watchface/7JpTrOuBLl?watchModel=galaxywatch3,,time;date;day;temperature;weather;wind direction;wind speed;heart rate;steps;watch battery;moon;,text;icon;icon;text;icon+text;icon+text;chart;chart;,temperature=text;weather=icon;wind direction=icon;wind speed=text;heart rate=icon+text;steps=icon+text;watch battery=chart;moon=chart;,weather;wind direction;,8,,,,wind direction;watch battery;,watch battery;,discrete bar;,bar+pictogram;,background;screen border;container;,heart rate;weather;,skeuomorphism,Nature;aniweather;moonphases;digital;,digital,3,Facer,Premium,,bar+pictogram;
144,2,21/03/2021 22:00,44,yes,BIZI,FALSE,Lifestyle,https://www.facer.io/watchface/aetMLCvHd2?watchModel=armaniconnected,,time;date;day;steps;heart rate;watch battery;,chart+icon+text;chart+icon+text;chart+icon+text;,steps=chart+icon+text;heart rate=chart+icon+text;watch battery=chart+icon+text;,none;,3,,,,steps;heart rate;watch battery;,watch battery;steps;heart rate;,discrete donut+text;discrete donut;discrete donut;,donut+pictogram;,background;screen border;container;,heart rate;watch battery;decoration;,skeuomorphism,Lifestyle,hybrid,2,Facer,Premium,,donut+pictogram;
149,2,21/03/2021 22:00,49,yes,B Sharp - Kaleidoscope + ,FALSE,Elegant;b#;bsharp;b sharp;mechanical;animated;realistic;analog;luxury;guilloche;elegant;kaleidoscope;hd graphics;formal;,https://www.facer.io/watchface/jUkfLLTUw0?watchModel=huaweiw1,,time;,none;,none;,none;,0,,,,no;,no;,no;,no;,logo;background;container;,decoration;,skeuomorphism,Elegant;b#;bsharp;b sharp;mechanical;animated;realistic;analog;luxury;guilloche;elegant;kaleidoscope;hd graphics;formal;,analog,1,Facer,Premium,,no;
156,2,21/03/2021 22:00,56,yes,FRIZY,FALSE,Lifestyle;,https://www.facer.io/watchface/6i91eQMpor?watchModel=fossilgen5e,,time;date;day;watch battery;,chart+text;,watch battery=chart+text;,none;,1,,,,watch battery;,watch battery;,text;,icon+bar+pictogram;,background;screen border;container;,watch battery;,skeuomorphism,Lifestyle;,hybrid,2,Facer,Premium,,icon+bar+pictogram;
157,2,21/03/2021 22:00,57,yes,Minimal Black Date,FALSE,Abstract;elegant;luxury;black;minimal;minimalist;simple;themeable;,https://www.facer.io/watchface/2yff57NgjZ?watchModel=moto360,,time;date;,none;,none;,none;,0,,,,no;,no;,no;,no;,logo;container;,no;,flat,Abstract;elegant;luxury;black;minimal;minimalist;simple;themeable;,analog,1,Facer,Premium,,no;
171,2,21/03/2021 22:00,71,yes,AG Prestige 920,FALSE,Elegant;white;light;information;elegant;cool;fashion;trendy;,https://www.facer.io/watchface/zhr2nejEcZ?watchModel=ticwatchs2glacier,,time;date;day;watch battery;temperature;weather;phone battery;,text;text;icon;text;,watch battery=text;temperature=text;weather=icon;phone battery=text;,weather;,4,,,,hour;,watch battery;phone battery;,text;text;,no;,background;container;,no;,skeuomorphism,Elegant;white;light;information;elegant;cool;fashion;trendy;,analog,2,Facer,Premium,,no;
175,2,21/03/2021 22:00,75,yes,EGRESS,FALSE,Lifestyle;,https://www.facer.io/watchface/cWgPGmNA8P?watchModel=armaniconnected,,time;date;day;watch battery;,text;,watch battery=text;,none;,1,,,,no;,watch battery;,text;,no;,background;container;,decoration;,skeuomorphism,Lifestyle;,digital,1,Facer,Premium,,no;
185,2,21/03/2021 22:00,85,yes,Bessiny L8,FALSE,Elegant;gold;analog;black;dials;seconds;minutes;24-hour;apps;activities;weather;reminders;calendar;,https://www.facer.io/watchface/jPXDOvVBC4?watchModel=moto3602,,time;date;stopwatch;,none;,none;,none;,0,,,,no;,no;,no;,no;,screen border;container;,no;,skeuomorphism,Elegant;gold;analog;black;dials;seconds;minutes;24-hour;apps;activities;weather;reminders;calendar;,analog,3,Facer,Premium,,no;
188,2,21/03/2021 22:00,88,yes,Eggs-tra Special Time,FALSE,Fun;easter;bunny;eggs;interactive;spring;fun;,https://www.facer.io/watchface/3HAwWdALch?watchModel=fossilqventure,,time;date;day;watch battery;,text;,watch battery=text;,none;,1,,,,no;,watch battery;,text;,no;,logo;background;container;,no;,skeuomorphism,Fun;easter;bunny;eggs;interactive;spring;fun;,digital,4,Facer,Premium,,no;
189,2,21/03/2021 22:00,89,yes,Pocket Bunny,FALSE,Fun;easter;spring;bunny;rabbit;fun;illustrated;interactive;denim;,https://www.facer.io/watchface/YhxLILdH2U?watchModel=guessace,,time;date;day;watch battery;,text;,watch battery=text;,none;,1,,,,no;,watch battery;,text;,no;,logo;background;screen border;,no;,skeuomorphism,Fun;easter;spring;bunny;rabbit;fun;illustrated;interactive;denim;,digital,3,Facer,Premium,,no;
190,2,21/03/2021 22:00,90,yes,Arctic Diver ( Date ) ,FALSE,Realistic;analog;chronometer;theme;able;dress;diver;divers;,https://www.facer.io/watchface/GVHQ2kBToK?watchModel=huaweiw1,,time;date;,none;,none;,none;,0,,,,no;,no;,no;,no;,logo;screen border;container;,no;,semi-flat,Realistic;analog;chronometer;theme;able;dress;diver;divers;,analog,1,Facer,Premium,,no;
193,2,21/03/2021 22:00,93,yes,OD H11,FALSE,Luxury;hybrid;silver;graphite;blue;green;brown;red;steps;heart rate;wind direction;wind speed;sunrise;sunset;date;temp;humidity;watch battery;apps lock;hands parking;,https://www.facer.io/watchface/A5WhGJ3elJ?watchModel=montblancsummit,,time;watch battery;,text;,watch battery=text;,none;,1,,,,watch battery;,watch battery;,sliding;,gauge;,logo;background;container;,no;,skeuomorphism,Luxury;hybrid;silver;graphite;blue;green;brown;red;steps;heart rate;wind direction;wind speed;sunrise;sunset;date;temp;humidity;watch battery;apps lock;hands parking;,analog,0,Facer,Premium,,gauge;
196,2,21/03/2021 22:00,96,yes,LAZ | Bullet,FALSE,Futuristic;calendar;steps;calories;distance;heart rate;temperature;weather;phone;contacts;settings;alarm;10k challenge;colour theme;trending;premium;oled friendly;,https://www.facer.io/watchface/C5JxlrTmk2?watchModel=movadoconnect,,time;date;day;temperature;weather;watch battery;steps;distance;calories;heart rate;,text;text;chart+icon;chart+icon+text;icon+text;icon+text;icon+text;,temperature=text;weather=text;watch battery=chart+icon;steps=chart+icon+text;distance=icon+text;calories=icon+text;heart rate=icon+text;,none;,7,,,,watch battery;steps;,watch battery;steps;,arc;arc;,bar;,logo;,no;,flat,Futuristic;calendar;steps;calories;distance;heart rate;temperature;weather;phone;contacts;settings;alarm;10k challenge;colour theme;trending;premium;oled friendly;,digital,1,Facer,Premium,,bar;
200,2,21/03/2021 22:00,100,yes,Emerald St Patrick's Premium,FALSE,Elegant;green;emerald;diamonds;st patrick's day;simple;,https://www.facer.io/watchface/Bzm5ya1XVc?watchModel=skagenfalster2,,time;date;,none;,none;,none;,0,,,,no;,no;,no;,no;,screen border;container;design;,no;,skeuomorphism,Elegant;green;emerald;diamonds;st patrick's day;simple;,analog,1,Facer,Premium,,no;
202,3,28/03/2021 22:01,2,yes,M-2021 +,FALSE,Abstract;new;color;cool;bold;digital;,https://www.facer.io/watchface/5BDvG34O7x?watchModel=moto3602,,time;,none;,none;,none;,0,,,,no;,no;,no;,no;,design;,no;,semi-flat,Abstract;new;color;cool;bold;digital;,digital,1,Facer,Premium,,no;
209,3,28/03/2021 22:01,9,yes,PLATE,FALSE,Lifestyle;,https://www.facer.io/watchface/WPRhF9arDA?watchModel=fossilgen5e,,time;date;day;steps;watch battery;heart rate;temperature;weather;,chart+text;chart+text;chart+text;text;text;,steps=chart+text;watch battery=chart+text;heart rate=chart+text;temperature=text;weather=text;,none;,5,,,,steps;watch battery;heart rate;,watch battery;steps;heart rate;,discrete donut+text;gauge;gauge;,donut+pictogram;gauge;,background;container;,decoration;,skeuomorphism,Lifestyle;,hybrid,1,Facer,Premium,,donut+pictogram;gauge;
215,3,28/03/2021 22:01,15,yes,RZ242,FALSE,Fun;cool;educative;languages;rzwatchfaces;,https://www.facer.io/watchface/ANJaqbD6jh?watchModel=galaxyactive2,,time;date;day;steps;watch battery;,text;chart+icon;,steps=text;watch battery=chart+icon;,none;,2,,,,watch battery;,no;,no;,arc+pictogram;,logo;design;container;,no;,flat,Fun;cool;educative;languages;rzwatchfaces;,digital,1,Facer,Premium,,arc+pictogram;
221,3,28/03/2021 22:01,21,yes,PRIMAL,FALSE,Lifestyle,https://www.facer.io/watchface/tvnHZixJ6f?watchModel=armaniconnected,,time;date;day;watch battery;,chart+icon;,watch battery=chart+icon;,none;,1,,,,day;watch battery;,watch battery;,gauge;,gauge;,background;container;,decoration;,skeuomorphism,Lifestyle,analog,1,Facer,Premium,,gauge;
226,3,28/03/2021 22:01,26,yes,Garden Bunny,FALSE,Nature;easter;spring;summer;flowers;rabbit;girly;women;bunny;garden;,https://www.facer.io/watchface/fd0kf4EfUV?watchModel=fossilqventure,,time;date;day;steps;watch battery;temperature;weather;heart rate;calories;,text;text;text;icon;text;,steps=text;watch battery=text;temperature=text;weather=icon;heart rate=text;calories=text;,weather;,6,,,,no;,watch battery;,text;,no;,logo;background;design;,no;,semi-flat,Nature;easter;spring;summer;flowers;rabbit;girly;women;bunny;garden;,digital,4,Facer,Premium,,no;
227,3,28/03/2021 22:01,27,yes,BATWOLF Lithium,FALSE,Futuristic;temp;humidity;pulse;step count;distance walked;battery lights;step goal;,https://www.facer.io/watchface/nn99ZFIRC2?watchModel=armaniconnected,,time;date;day;temperature;humidity;air pressure;distance;steps;watch battery;,text;text;text;text;text;chart;,temperature=text;humidity=text;air pressure=text;distance=text;steps=text;watch battery=chart;,none;,6,,,,steps;watch battery;,watch battery;,text;,bar+pictogram;,logo;background;container;,heart rate;,semi-flat,Futuristic;temp;humidity;pulse;step count;distance walked;battery lights;step goal;,digital,1,Facer,Premium,,bar+pictogram;
